Sr.no,Trial.no,ppid,Distance,Grasp.size,Base.hole,Hand,Status,Object,RT,MT_to_obj,MT_obj_to_tar,Total_MT
1202,2,1,30cm,large,small,Right,Done,B,525,1796,2430,4226
1203,3,1,30cm,small,small,Right,Done,C,460,1259,2342,3601
1204,4,1,30cm,large,large,Right,Done,D,533,1348,2831,4179
1205,5,1,30cm,small,large,Right,Done,A,906,1088,1730,2818
1206,6,1,30cm,large,small,Right,Done,B,1014,1023,2227,3250
1207,7,1,30cm,small,small,Right,Done,C,475,1165,2024,3189
1208,8,1,30cm,large,large,Right,Done,D,551,1396,2029,3425
1209,9,1,30cm,small,large,Right,Done,A,685,1555,1627,3182
1210,10,1,30cm,large,small,Right,Done,B,912,1075,1824,2899
1211,11,1,30cm,large,small,Right,Done,B,780,996,1828,2824
1212,12,1,30cm,small,small,Right,Done,C,438,1195,2025,3220
1213,13,1,30cm,large,large,Right,Done,D,795,2025,2235,4260
1214,14,1,30cm,small,large,Right,Done,A,1035,1103,1421,2524
1215,15,1,30cm,large,small,Right,Done,B,466,796,1823,2619
1216,16,1,30cm,small,small,Right,Done,C,661,706,1823,2529
1217,17,1,30cm,large,small,Right,Done,D,590,1100,3442,4542
1218,18,1,30cm,small,large,Right,Done,A,703,923,1421,2344
1219,19,1,30cm,large,small,Right,Done,B,594,1136,1420,2556
1220,20,1,30cm,small,small,Right,Done,C,608,809,1826,2635
1221,21,1,30cm,small,small,Right,Done,C,649,1009,2028,3037
1222,22,1,30cm,large,large,Right,Done,D,1099,899,1823,2722
1223,23,1,30cm,small,large,Right,Done,A,937,859,1621,2480
1224,24,1,30cm,large,small,Right,Done,B,605,1601,1829,3430
1225,25,1,30cm,small,small,Right,Done,C,459,929,1626,2555
1226,26,1,30cm,large,large,Right,Done,D,759,1085,1620,2705
1227,27,1,30cm,small,large,Right,Done,A,816,1024,1621,2645
1228,28,1,30cm,large,small,Right,Done,B,1030,898,2431,3329
1229,29,1,30cm,small,small,Right,Done,C,434,1017,1420,2437
1230,30,1,30cm,large,large,Right,Done,D,622,1010,1634,2644
1231,31,1,30cm,large,large,Right,Done,D,552,854,1627,2481
1232,32,1,30cm,small,large,Right,Done,A,556,1098,1623,2721
1233,33,1,30cm,large,small,Right,Done,B,571,855,1623,2478
1234,34,1,30cm,small,small,Right,Done,C,1031,916,1420,2336
1235,35,1,30cm,large,large,Right,Done,D,634,1191,2225,3416
1236,36,1,30cm,small,large,Right,Done,A,297,1596,1624,3220
1237,37,1,30cm,large,small,Right,Done,B,611,1095,1822,2917
1238,38,1,30cm,small,small,Right,Done,C,902,992,2027,3019
1239,39,1,30cm,large,large,Right,Done,D,872,1079,2427,3506
1240,40,1,30cm,small,large,Right,Done,A,623,1235,1823,3058
1241,41,1,30cm,small,large,Left,Done,A,780,915,2230,3145
1242,42,1,30cm,large,small,Left,Done,B,1262,1289,1619,2908
1243,43,1,30cm,small,small,Left,Done,C,513,962,2428,3390
1244,44,1,30cm,large,large,Left,Done,D,374,917,2023,2940
1245,45,1,30cm,small,large,Left,Done,A,530,920,2023,2943
1246,46,1,30cm,large,small,Left,Done,B,656,1137,2226,3363
1247,47,1,30cm,small,small,Left,Done,C,499,1130,2027,3157
1248,48,1,30cm,large,large,Left,Done,D,345,1206,2023,3229
1249,49,1,30cm,small,large,Left,Done,A,652,1204,2029,3233
1250,50,1,30cm,large,small,Left,Done,B,534,922,2228,3150
1251,51,1,30cm,large,small,Left,Done,B,394,842,2032,2874
1252,52,1,30cm,small,small,Left,Done,C,434,1133,2438,3571
1253,53,1,30cm,large,large,Left,Done,D,527,946,2225,3171
1254,54,1,30cm,small,large,Left,Done,A,386,1067,2029,3096
1255,55,1,30cm,large,small,Left,Done,B,660,1147,1627,2774
1256,56,1,30cm,small,small,Left,Done,C,531,1188,1826,3014
1257,57,1,30cm,large,small,Left,Done,D,643,1630,1623,3253
1258,58,1,30cm,small,large,Left,Done,A,678,854,2229,3083
1259,59,1,30cm,large,small,Left,Done,B,2419,1697,1822,3519
1260,60,1,30cm,small,small,Left,Done,C,1348,1021,1707,2728
1261,61,1,30cm,small,small,Left,Done,C,512,946,1827,2773
1262,62,1,30cm,large,large,Left,Done,D,1641,781,1622,2403
1263,63,1,30cm,small,large,Left,Done,A,448,1341,1830,3171
1264,64,1,30cm,large,small,Left,Done,B,585,857,2026,2883
1265,65,1,30cm,small,small,Left,Done,C,639,1017,2025,3042
1266,66,1,30cm,large,large,Left,Done,D,366,744,1824,2568
1267,67,1,30cm,small,large,Left,Done,A,563,865,1822,2687
1268,68,1,30cm,large,small,Left,Done,B,531,1540,1823,3363
1269,69,1,30cm,small,small,Left,Done,C,552,777,1826,2603
1270,70,1,30cm,large,large,Left,Done,D,823,987,2231,3218
1271,71,1,30cm,large,large,Left,Done,D,949,900,2027,2927
1272,72,1,30cm,small,large,Left,Done,A,672,793,2228,3021
1273,73,1,30cm,large,small,Left,Done,B,432,1091,2023,3114
1274,74,1,30cm,small,small,Left,Done,C,573,873,2229,3102
1275,75,1,30cm,large,large,Left,Done,D,738,1116,2632,3748
1276,76,1,30cm,small,large,Left,Done,A,427,953,2228,3181
1277,77,1,30cm,large,small,Left,Done,B,802,843,1824,2667
1278,78,1,30cm,small,small,Left,Done,C,400,812,2023,2835
1279,79,1,30cm,large,large,Left,Done,D,711,1585,2025,3610
1280,80,1,30cm,small,large,Left,Done,A,832,1221,2024,3245
1281,81,2,30cm,small,large,Right,Done,A,318,811,2229,3040
1282,82,2,30cm,large,small,Right,Done,B,1003,732,1824,2556
1283,83,2,30cm,small,small,Right,Done,C,535,614,1621,2235
1284,84,2,30cm,large,large,Right,Done,D,399,659,1624,2283
1285,85,2,30cm,small,large,Right,Done,A,259,587,1218,1805
1286,86,2,30cm,large,small,Right,Done,B,459,652,1418,2070
1287,87,2,30cm,small,small,Right,Done,C,658,663,1420,2083
1288,88,2,30cm,large,large,Right,Done,D,383,705,1622,2327
1289,89,2,30cm,small,large,Right,Done,A,374,690,1621,2311
1290,90,2,30cm,large,small,Right,Done,B,279,691,5660,6351
1291,91,2,30cm,large,small,Right,Done,B,2296,642,2022,2664
1292,92,2,30cm,small,small,Right,Done,C,357,758,1222,1980
1293,93,2,30cm,large,large,Right,Done,D,819,759,2431,3190
1294,94,2,30cm,small,large,Right,Done,A,302,755,1623,2378
1295,95,2,30cm,large,small,Right,Done,B,565,577,1216,1793
1296,96,2,30cm,small,small,Right,Done,C,489,649,1627,2276
1297,97,2,30cm,large,small,Right,Done,D,775,888,1218,2106
1298,98,2,30cm,small,large,Right,Done,A,363,603,4246,4849
1299,99,2,30cm,large,small,Right,Done,B,502,845,1619,2464
1300,100,2,30cm,small,small,Right,Done,C,360,1046,1831,2877
1301,101,2,30cm,small,small,Right,Done,C,293,609,1623,2232
1302,102,2,30cm,large,large,Right,Done,D,638,901,2027,2928
1303,103,2,30cm,small,large,Right,Done,A,343,829,1824,2653
1304,104,2,30cm,large,small,Right,Done,B,717,740,2022,2762
1305,105,2,30cm,small,small,Right,Done,C,383,660,1418,2078
1306,106,2,30cm,large,large,Right,Done,D,391,660,1421,2081
1307,107,2,30cm,small,large,Right,Done,A,412,705,1424,2129
1308,108,2,30cm,large,small,Right,Done,B,267,809,1621,2430
1309,109,2,30cm,small,small,Right,Done,C,733,724,1626,2350
1310,110,2,30cm,large,large,Right,Done,D,271,775,1421,2196
1311,111,2,30cm,large,large,Right,Done,D,837,665,1425,2090
1312,112,2,30cm,small,large,Right,Done,A,497,717,2024,2741
1313,113,2,30cm,large,small,Right,Done,B,278,615,1421,2036
1314,114,2,30cm,small,small,Right,Done,C,545,825,1624,2449
1315,115,2,30cm,large,large,Right,Done,D,419,863,1620,2483
1316,116,2,30cm,small,large,Right,Done,A,397,1378,2025,3403
1317,117,2,30cm,large,small,Right,Done,B,7,961,2028,2989
1318,118,2,30cm,small,small,Right,Done,C,423,681,1620,2301
1319,119,2,30cm,large,large,Right,Done,D,676,762,2028,2790
1320,120,2,30cm,small,large,Right,Done,A,315,644,2025,2669
1321,121,2,30cm,small,large,Left,Done,A,331,820,1626,2446
1322,122,2,30cm,large,small,Left,Done,B,511,868,2029,2897
1323,123,2,30cm,small,small,Left,Done,C,419,862,2023,2885
1324,124,2,30cm,large,large,Left,Done,D,552,707,1824,2531
1325,125,2,30cm,small,large,Left,Done,A,426,723,2032,2755
1326,126,2,30cm,large,small,Left,Done,B,556,771,1626,2397
1327,127,2,30cm,small,small,Left,Done,C,370,615,1827,2442
1328,128,2,30cm,large,large,Left,Done,D,303,764,5054,5818
1329,129,2,30cm,small,large,Left,Done,A,477,1257,2431,3688
1330,130,2,30cm,large,small,Left,Done,B,255,752,2228,2980
1331,131,2,30cm,large,small,Left,Done,B,750,540,2229,2769
1332,132,2,30cm,small,small,Left,Done,C,248,1134,2430,3564
1333,133,2,30cm,large,large,Left,Done,D,234,718,2225,2943
1334,134,2,30cm,small,large,Left,Done,A,262,676,1821,2497
1335,135,2,30cm,large,small,Left,Done,B,541,535,1628,2163
1336,136,2,30cm,small,small,Left,Done,C,398,642,1831,2473
1337,137,2,30cm,large,small,Left,Done,D,512,827,2428,3255
1338,138,2,30cm,small,large,Left,Done,A,306,747,1823,2570
1339,139,2,30cm,large,small,Left,Done,B,317,692,1827,2519
1340,140,2,30cm,small,small,Left,Done,C,421,621,1419,2040
1341,141,2,30cm,small,small,Left,Done,C,377,810,2229,3039
1342,142,2,30cm,large,large,Left,Done,D,262,534,2226,2760
1343,143,2,30cm,small,large,Left,Done,A,232,596,1822,2418
1344,144,2,30cm,large,small,Left,Done,B,249,611,1623,2234
1345,145,2,30cm,small,small,Left,Done,C,274,697,2024,2721
1346,146,2,30cm,large,large,Left,Done,D,230,859,1825,2684
1347,147,2,30cm,small,large,Left,Done,A,312,737,1820,2557
1348,148,2,30cm,large,small,Left,Done,B,490,717,1620,2337
1349,149,2,30cm,small,small,Left,Done,C,308,779,2022,2801
1350,150,2,30cm,large,large,Left,Done,D,515,1006,3033,4039
1351,151,2,30cm,large,large,Left,Done,D,549,550,1619,2169
1352,152,2,30cm,small,large,Left,Done,A,402,843,1827,2670
1353,153,2,30cm,large,small,Left,Done,B,571,1294,2027,3321
1354,154,2,30cm,small,small,Left,Done,C,541,889,1823,2712
1355,155,2,30cm,large,large,Left,Done,D,382,863,2229,3092
1356,156,2,30cm,small,large,Left,Done,A,759,862,2243,3105
1357,157,2,30cm,large,small,Left,Done,B,467,942,2225,3167
1358,158,2,30cm,small,small,Left,Done,C,593,755,1827,2582
1359,159,2,30cm,large,large,Left,Done,D,871,913,1624,2537
1360,160,2,30cm,small,large,Left,Done,A,1298,596,1619,2215
1361,161,3,30cm,small,large,Right,Done,A,577,1791,2022,3813
1362,162,3,30cm,large,small,Right,Done,B,784,826,1621,2447
1363,163,3,30cm,small,small,Right,Done,C,4,4361,1628,5989
1364,164,3,30cm,large,large,Right,Done,D,553,981,1820,2801
1365,165,3,30cm,small,large,Right,Done,A,354,913,1627,2540
1366,166,3,30cm,large,small,Right,Done,B,259,900,2027,2927
1367,167,3,30cm,small,small,Right,Done,C,338,956,1620,2576
1368,168,3,30cm,large,large,Right,Done,D,329,925,1825,2750
1369,169,3,30cm,small,large,Right,Done,A,390,891,1417,2308
1370,170,3,30cm,large,small,Right,Done,B,378,946,1821,2767
1371,171,3,30cm,large,small,Right,Done,B,345,830,1622,2452
1372,172,3,30cm,small,small,Right,Done,C,431,926,2435,3361
1373,173,3,30cm,large,large,Right,Done,D,648,874,1826,2700
1374,174,3,30cm,small,large,Right,Done,A,374,1178,2025,3203
1375,175,3,30cm,large,small,Right,Done,B,333,641,1826,2467
1376,176,3,30cm,small,small,Right,Done,C,326,795,1627,2422
1377,177,3,30cm,large,small,Right,Done,D,434,808,1418,2226
1378,178,3,30cm,small,large,Right,Done,A,470,685,1621,2306
1379,179,3,30cm,large,small,Right,Done,B,286,759,1420,2179
1380,180,3,30cm,small,small,Right,Done,C,294,790,1625,2415
1381,181,3,30cm,small,small,Right,Done,C,288,731,1826,2557
1382,182,3,30cm,large,large,Right,Done,D,285,740,1823,2563
1383,183,3,30cm,small,large,Right,Done,A,271,628,1830,2458
1384,184,3,30cm,large,small,Right,Done,B,759,940,1626,2566
1385,185,3,30cm,small,small,Right,Done,C,266,782,1620,2402
1386,186,3,30cm,large,large,Right,Done,D,306,837,1620,2457
1387,187,3,30cm,small,large,Right,Done,A,275,630,1628,2258
1388,188,3,30cm,large,small,Right,Done,B,329,787,2023,2810
1389,189,3,30cm,small,small,Right,Done,C,276,785,1418,2203
1390,190,3,30cm,large,large,Right,Done,D,263,803,1623,2426
1391,191,3,30cm,large,large,Right,Done,D,319,755,1620,2375
1392,192,3,30cm,small,large,Right,Done,A,302,794,1624,2418
1393,193,3,30cm,large,small,Right,Done,B,297,2728,1218,3946
1394,194,3,30cm,small,small,Right,Done,C,313,816,1419,2235
1395,195,3,30cm,large,large,Right,Done,D,231,1192,1620,2812
1396,196,3,30cm,small,large,Right,Done,A,321,1039,2026,3065
1397,197,3,30cm,large,small,Right,Done,B,309,904,1822,2726
1398,198,3,30cm,small,small,Right,Done,C,250,1066,1621,2687
1399,199,3,30cm,large,large,Right,Done,D,284,959,1824,2783
1400,200,3,30cm,small,large,Right,Done,A,279,758,1824,2582
1401,201,3,30cm,small,large,Left,Done,A,433,831,1827,2658
1402,202,3,30cm,large,small,Left,Done,B,296,902,2226,3128
1403,203,3,30cm,small,small,Left,Done,C,389,921,2031,2952
1404,204,3,30cm,large,large,Left,Done,D,282,915,1824,2739
1405,205,3,30cm,small,large,Left,Done,A,275,853,2231,3084
1406,206,3,30cm,large,small,Left,Done,B,287,1288,1824,3112
1407,207,3,30cm,small,small,Left,Done,C,329,788,1829,2617
1408,208,3,30cm,large,large,Left,Done,D,324,979,2029,3008
1409,209,3,30cm,small,large,Left,Done,A,334,1178,2227,3405
1410,210,3,30cm,large,small,Left,Done,B,298,1068,2023,3091
1411,211,3,30cm,large,small,Left,Done,B,314,917,1620,2537
1412,212,3,30cm,small,small,Left,Done,C,313,905,2026,2931
1413,213,3,30cm,large,large,Left,Done,D,382,816,1823,2639
1414,214,3,30cm,small,large,Left,Done,A,242,884,2026,2910
1415,215,3,30cm,large,small,Left,Done,B,314,983,2024,3007
1416,216,3,30cm,small,small,Left,Done,C,298,953,2023,2976
1417,217,3,30cm,large,small,Left,Done,D,829,1278,1824,3102
1418,218,3,30cm,small,large,Left,Done,A,296,749,1825,2574
1419,219,3,30cm,large,small,Left,Done,B,354,774,2026,2800
1420,220,3,30cm,small,small,Left,Done,C,277,951,2026,2977
1421,221,3,30cm,small,small,Left,Done,C,373,964,1825,2789
1422,222,3,30cm,large,large,Left,Done,D,321,861,1827,2688
1423,223,3,30cm,small,large,Left,Done,A,308,1089,1625,2714
1424,224,3,30cm,large,small,Left,Done,B,311,894,2028,2922
1425,225,3,30cm,small,small,Left,Done,C,298,835,1824,2659
1426,226,3,30cm,large,large,Left,Done,D,341,896,2429,3325
1427,227,3,30cm,small,large,Left,Done,A,310,1549,1830,3379
1428,228,3,30cm,large,small,Left,Done,B,293,1028,1622,2650
1429,229,3,30cm,small,small,Left,Done,C,288,746,1832,2578
1430,230,3,30cm,large,large,Left,Done,D,299,803,2030,2833
1431,231,3,30cm,large,large,Left,Done,D,354,716,1824,2540
1432,232,3,30cm,small,large,Left,Done,A,303,875,1825,2700
1433,233,3,30cm,large,small,Left,Done,B,306,989,2025,3014
1434,234,3,30cm,small,small,Left,Done,C,350,769,2025,2794
1435,235,3,30cm,large,large,Left,Done,D,311,868,2023,2891
1436,236,3,30cm,small,large,Left,Done,A,351,832,2023,2855
1437,237,3,30cm,large,small,Left,Done,B,308,1004,2230,3234
1438,238,3,30cm,small,small,Left,Done,C,291,838,1826,2664
1439,239,3,30cm,large,large,Left,Done,D,343,1089,1825,2914
1440,240,3,30cm,small,large,Left,Done,A,338,1078,1824,2902
1441,241,4,30cm,small,large,Right,Done,A,550,1034,1420,2454
1442,242,4,30cm,large,small,Right,Done,B,501,1020,1623,2643
1443,243,4,30cm,small,small,Right,Done,C,870,737,1221,1958
1444,244,4,30cm,large,large,Right,Done,D,922,913,1419,2332
1445,245,4,30cm,small,large,Right,Done,A,315,706,1219,1925
1446,246,4,30cm,large,small,Right,Done,B,578,688,2024,2712
1447,247,4,30cm,small,small,Right,Done,C,401,842,1218,2060
1448,248,4,30cm,large,large,Right,Done,D,448,1210,1424,2634
1449,249,4,30cm,small,large,Right,Done,A,1082,861,1213,2074
1450,250,4,30cm,large,small,Right,Done,B,384,727,1827,2554
1451,251,4,30cm,large,small,Right,Done,B,615,866,1622,2488
1452,252,4,30cm,small,small,Right,Done,C,648,765,3838,4603
1453,253,4,30cm,large,large,Right,Done,D,468,1049,2030,3079
1454,254,4,30cm,small,large,Right,Done,A,396,764,1619,2383
1455,255,4,30cm,large,small,Right,Done,B,1215,763,1822,2585
1456,256,4,30cm,small,small,Right,Done,C,981,848,2426,3274
1457,257,4,30cm,large,small,Right,Done,D,661,564,2429,2993
1458,258,4,30cm,small,large,Right,Done,A,1014,1183,1214,2397
1459,259,4,30cm,large,small,Right,Done,B,492,897,1421,2318
1460,260,4,30cm,small,small,Right,Done,C,598,971,1420,2391
1461,261,4,30cm,small,small,Right,Done,C,1282,663,1216,1879
1462,262,4,30cm,large,large,Right,Done,D,809,802,1826,2628
1463,263,4,30cm,small,large,Right,Done,A,666,762,1217,1979
1464,264,4,30cm,large,small,Right,Done,B,1450,860,1217,2077
1465,265,4,30cm,small,small,Right,Done,C,637,579,1424,2003
1466,266,4,30cm,large,large,Right,Done,D,319,818,2026,2844
1467,267,4,30cm,small,large,Right,Done,A,863,812,3036,3848
1468,268,4,30cm,large,small,Right,Done,B,940,781,1428,2209
1469,269,4,30cm,small,small,Right,Done,C,1254,760,1014,1774
1470,270,4,30cm,large,large,Right,Done,D,352,828,1419,2247
1471,271,4,30cm,large,large,Right,Done,D,515,748,1422,2170
1472,272,4,30cm,small,large,Right,Done,A,495,969,1421,2390
1473,273,4,30cm,large,small,Right,Done,B,1204,705,1012,1717
1474,274,4,30cm,small,small,Right,Done,C,747,794,1222,2016
1475,275,4,30cm,large,large,Right,Done,D,461,1017,1622,2639
1476,276,4,30cm,small,large,Right,Done,A,541,1213,2031,3244
1477,277,4,30cm,large,small,Right,Done,B,356,883,2027,2910
1478,278,4,30cm,small,small,Right,Done,C,330,824,10719,11543
1479,279,4,30cm,large,large,Right,Done,D,890,967,1421,2388
1480,280,4,30cm,small,large,Right,Done,A,588,650,2231,2881
1481,281,4,30cm,small,large,Left,Done,A,512,2084,3234,5318
1482,282,4,30cm,large,small,Left,Done,B,487,995,1419,2414
1483,283,4,30cm,small,small,Left,Done,C,602,1039,2225,3264
1484,284,4,30cm,large,large,Left,Done,D,401,799,2024,2823
1485,285,4,30cm,small,large,Left,Done,A,507,778,1827,2605
1486,286,4,30cm,large,small,Left,Done,B,575,865,1419,2284
1487,287,4,30cm,small,small,Left,Done,C,563,768,1623,2391
1488,288,4,30cm,large,large,Left,Done,D,415,924,1420,2344
1489,289,4,30cm,small,large,Left,Done,A,442,1281,1828,3109
1490,290,4,30cm,large,small,Left,Done,B,1440,851,1620,2471
1491,291,4,30cm,large,small,Left,Done,B,546,907,1418,2325
1492,292,4,30cm,small,small,Left,Done,C,539,864,5456,6320
1493,293,4,30cm,large,large,Left,Done,D,329,697,3435,4132
1494,294,4,30cm,small,large,Left,Done,A,804,895,2030,2925
1495,295,4,30cm,large,small,Left,Done,B,364,769,2032,2801
1496,296,4,30cm,small,small,Left,Done,C,596,883,1219,2102
1497,297,4,30cm,large,small,Left,Done,D,357,1122,1619,2741
1498,298,4,30cm,small,large,Left,Done,A,357,885,3035,3920
1499,299,4,30cm,large,small,Left,Done,B,429,994,1830,2824
1500,300,4,30cm,small,small,Left,Done,C,347,718,2024,2742
1501,301,4,30cm,small,small,Left,Done,C,611,719,1626,2345
1502,302,4,30cm,large,large,Left,Done,D,348,596,3244,3840
1503,303,4,30cm,small,large,Left,Done,A,468,1253,1822,3075
1504,304,4,30cm,large,small,Left,Done,B,435,1147,1826,2973
1505,305,4,30cm,small,small,Left,Done,C,491,1091,2431,3522
1506,306,4,30cm,large,large,Left,Done,D,561,801,2225,3026
1507,307,4,30cm,small,large,Left,Done,A,603,960,1823,2783
1508,308,4,30cm,large,small,Left,Done,B,587,771,1222,1993
1509,309,4,30cm,small,small,Left,Done,C,442,985,2029,3014
1510,310,4,30cm,large,large,Left,Done,D,328,951,1625,2576
1511,311,4,30cm,large,large,Left,Done,D,444,643,2637,3280
1512,312,4,30cm,small,large,Left,Done,A,511,795,1820,2615
1513,313,4,30cm,large,small,Left,Done,B,511,829,1625,2454
1514,314,4,30cm,small,small,Left,Done,C,343,948,1417,2365
1515,315,4,30cm,large,large,Left,Done,D,343,1206,1824,3030
1516,316,4,30cm,small,large,Left,Done,A,693,756,1422,2178
1517,317,4,30cm,large,small,Left,Done,B,312,703,2630,3333
1518,318,4,30cm,small,small,Left,Done,C,308,843,1417,2260
1519,319,4,30cm,large,large,Left,Done,D,785,1007,1224,2231
1520,320,4,30cm,small,large,Left,Done,A,799,933,1417,2350
1521,321,5,30cm,small,large,Right,Done,A,643,995,1425,2420
1522,322,5,30cm,large,small,Right,Done,B,271,967,2229,3196
1523,323,5,30cm,small,small,Right,Done,C,404,939,1417,2356
1524,324,5,30cm,large,large,Right,Done,D,364,796,1420,2216
1525,325,5,30cm,small,large,Right,Done,A,314,681,1215,1896
1526,326,5,30cm,large,small,Right,Done,B,318,760,1216,1976
1527,327,5,30cm,small,small,Right,Done,C,326,643,1623,2266
1528,328,5,30cm,large,large,Right,Done,D,259,773,1622,2395
1529,329,5,30cm,small,large,Right,Done,A,390,639,1420,2059
1530,330,5,30cm,large,small,Right,Done,B,341,740,1417,2157
1531,331,5,30cm,large,small,Right,Done,B,479,1028,1218,2246
1532,332,5,30cm,small,small,Right,Done,C,310,836,1217,2053
1533,333,5,30cm,large,large,Right,Done,D,385,752,2224,2976
1534,334,5,30cm,small,large,Right,Done,A,309,825,1422,2247
1535,335,5,30cm,large,small,Right,Done,B,285,835,1420,2255
1536,336,5,30cm,small,small,Right,Done,C,439,601,1415,2016
1537,337,5,30cm,large,small,Right,Done,D,341,808,1226,2034
1538,338,5,30cm,small,large,Right,Done,A,295,563,2027,2590
1539,339,5,30cm,large,small,Right,Done,B,295,702,1619,2321
1540,340,5,30cm,small,small,Right,Done,C,368,837,1418,2255
1541,341,5,30cm,small,small,Right,Done,C,357,743,1422,2165
1542,342,5,30cm,large,large,Right,Done,D,315,806,1421,2227
1543,343,5,30cm,small,large,Right,Done,A,317,661,1221,1882
1544,344,5,30cm,large,small,Right,Done,B,371,1080,1418,2498
1545,345,5,30cm,small,small,Right,Done,C,264,641,1217,1858
1546,346,5,30cm,large,large,Right,Done,D,295,792,1426,2218
1547,347,5,30cm,small,large,Right,Done,A,296,750,1420,2170
1548,348,5,30cm,large,small,Right,Done,B,292,742,1224,1966
1549,349,5,30cm,small,small,Right,Done,C,298,764,1218,1982
1550,350,5,30cm,large,large,Right,Done,D,355,648,2226,2874
1551,351,5,30cm,large,large,Right,Done,D,311,1163,1439,2602
1552,352,5,30cm,small,large,Right,Done,A,316,875,1417,2292
1553,353,5,30cm,large,small,Right,Done,B,315,715,1216,1931
1554,354,5,30cm,small,small,Right,Done,C,332,914,1218,2132
1555,355,5,30cm,large,large,Right,Done,D,266,1153,1417,2570
1556,356,5,30cm,small,large,Right,Done,A,340,958,1848,2806
1557,357,5,30cm,large,small,Right,Done,B,323,847,1823,2670
1558,358,5,30cm,small,small,Right,Done,C,740,808,1420,2228
1559,359,5,30cm,large,large,Right,Done,D,250,907,1622,2529
1560,360,5,30cm,small,large,Right,Done,A,387,891,1622,2513
1561,361,5,30cm,small,large,Left,Done,A,392,1037,2428,3465
1562,362,5,30cm,large,small,Left,Done,B,418,839,1417,2256
1563,363,5,30cm,small,small,Left,Done,C,334,1755,1821,3576
1564,364,5,30cm,large,large,Left,Done,D,327,622,1419,2041
1565,365,5,30cm,small,large,Left,Done,A,297,674,1626,2300
1566,366,5,30cm,large,small,Left,Done,B,388,1368,1421,2789
1567,367,5,30cm,small,small,Left,Done,C,329,834,1215,2049
1568,368,5,30cm,large,large,Left,Done,D,291,896,4249,5145
1569,369,5,30cm,small,large,Left,Done,A,275,896,1837,2733
1570,370,5,30cm,large,small,Left,Done,B,287,1089,1624,2713
1571,371,5,30cm,large,small,Left,Done,B,302,654,1418,2072
1572,372,5,30cm,small,small,Left,Done,C,429,784,1619,2403
1573,373,5,30cm,large,large,Left,Done,D,279,821,1418,2239
1574,374,5,30cm,small,large,Left,Done,A,1267,701,2024,2725
1575,375,5,30cm,large,small,Left,Done,B,321,808,1620,2428
1576,376,5,30cm,small,small,Left,Done,C,286,704,1215,1919
1577,377,5,30cm,large,small,Left,Done,D,360,1423,1420,2843
1578,378,5,30cm,small,large,Left,Done,A,268,700,1415,2115
1579,379,5,30cm,large,small,Left,Done,B,283,553,1822,2375
1580,380,5,30cm,small,small,Left,Done,C,193,691,1215,1906
1581,381,5,30cm,small,small,Left,Done,C,336,804,1420,2224
1582,382,5,30cm,large,large,Left,Done,D,350,686,1621,2307
1583,383,5,30cm,small,large,Left,Done,A,272,819,1217,2036
1584,384,5,30cm,large,small,Left,Done,B,278,770,1216,1986
1585,385,5,30cm,small,small,Left,Done,C,420,598,1627,2225
1586,386,5,30cm,large,large,Left,Done,D,340,630,1420,2050
1587,387,5,30cm,small,large,Left,Done,A,265,858,1419,2277
1588,388,5,30cm,large,small,Left,Done,B,298,1021,1418,2439
1589,389,5,30cm,small,small,Left,Done,C,279,836,1624,2460
1590,390,5,30cm,large,large,Left,Done,D,274,907,2024,2931
1591,391,5,30cm,large,large,Left,Done,D,298,536,1822,2358
1592,392,5,30cm,small,large,Left,Done,A,399,881,1430,2311
1593,393,5,30cm,large,small,Left,Done,B,476,952,1510,2462
1594,394,5,30cm,small,small,Left,Done,C,285,1129,1546,2675
1595,395,5,30cm,large,large,Left,Done,D,319,930,2635,3565
1596,396,5,30cm,small,large,Left,Done,A,219,916,1827,2743
1597,397,5,30cm,large,small,Left,Done,B,294,1274,2227,3501
1598,398,5,30cm,small,small,Left,Done,C,384,959,4246,5205
1599,399,5,30cm,large,large,Left,Done,D,313,999,1215,2214
1600,400,5,30cm,small,large,Left,Done,A,311,990,2830,3820
